Year,Category,Title,Winners
2012,Best Rap/Sung Collaboration,No Church In The Wild,"Jay-Z, The-Dream, Frank Ocean& Kanye West, artists."
2012,Best Rap Song,N****s In Paris,"Mike Dean, Chauncey Hollis,Shawn Carter & Kanye West, songwriters."
2012,Best Rap Album,Take Care,"Drake, artist. Noel ""Gadget"" Campbell & Noah ""40"" Shebib, engineers/mixers. Noah ""40"" Shebib, producer."
2012,Best Country Solo Performance,Blown Away,"Carrie Underwood, artist."
2012,Best Country Duo/Group Performance,Pontoon,"Little Big Town (Karen Fairchild, Kimberly Schlapman, Phillip Sweet, Jimi Westbrook), artist."
2012,Best Country Song,Blown Away,"Josh Kear & Chris Tompkins, songwriters."
2012,Best Country Album,Uncaged,"Zac Brown Band (Coy Bowles, Zac Brown, Clay Cook, Daniel De Los Reyes, Jimmy De Martini, Chris Fryar, John Driskell Hopkins), artist. John Kelton, engineer/mixer. Keith Stegall, producer."
2012,Best New Age Album,Echoes Of Love,"Omar Akram, artist. Gregg Karukas, engineer/mixer. Gregg Karukas, producer."
2012,Best Improvised Jazz Solo,Hot House,"Gary Burton & Chick Corea, soloists."
2012,Best Jazz Vocal Album,Radio Music Society,"Esperanza Spalding, artist. Joe Ferla & Fernando Lodeiro, engineers/mixers. Esperanza Spalding, producer."
2012,Best Jazz Instrumental Album,Unity Band,"Pat Metheny Unity Band (Pat Metheny, Chris Potter, Antonio Sanchez, Ben Williams), artist. James Farber & Pete Karam, engineers/mixers."
2012,Best Large Jazz Ensemble Album,Dear Diz (Every Day I Think Of You),"Arturo Sandoval, artist. Gregg Field & Don Murray, engineers/mixers. Gregg Field & Arturo Sandoval, producers."
2012,Best Latin Jazz Album,¡Ritmo!,"The Clare Fischer Latin Jazz Big Band (Brent Fischer, Dr. Clare Fischer), artist. Dan Blessinger, Les Brockmann, Matt Brownlie & Justin Merrill, engineers/mixers."
2012,Best Gospel/Contemporary Christian Music Performance,"10,000 Reasons (Bless The Lord)","Matt Redman, artist."
2012,Best Gospel Song,Go Get It,"Erica Campbell, Trecina Campbell & Warryn ""Baby Dubb"" Campbell, songwriters."
2012,Best Contemporary Christian Music Song,"10,000 Reasons (Bless The Lord)","Jonas Myrin & Matt Redman, songwriters."
2012,Best Contemporary Christian Music Song,Your Presence Is Heaven,"Israel Houghton & Micah Massey, songwriters."
2012,Best Gospel Album,Gravity,"Lecrae, artist. Carlton Lynn & Joseph Prielozny, engineers/mixers."
2012,Best Contemporary Christian Music Album,Eye On It,"Tobymac, artist. Jerricho Scroggins, Christopher Stevens & Taylor Stevens, engineers/mixers. Christopher Stevens & Tobymac, producers."
2012,Best Latin Pop Album,MTV Unplugged Deluxe Edition,"Juanes, artist. Gustavo Borner, engineer/mixer. Juan Luis Guerra, producer."
