Year,Category,Title,Winners
2010,Best Recording Package,Brothers,"Michael Carney, art director.(The Black Keys)"
2010,Best Boxed Or Special Limited Edition Package,Under Great White Northern Lights (Limited Edition Box Set),"Jack White & Rob Jones, art directors."
2010,Best Album Notes,Keep An Eye On The Sky,"Robert Gordon, album notes writer."
2010,Best Historical Album,The Beatles (The Original Studio Recordings),"Allan Rouse & Jeff Jones, compilation producers. Guy Massey, Paul Hicks, Sam Okell, Sean Magee & Steve Rooke, mastering engineers."
2010,"Best Engineered Album, Non-Classical",Battle Studies,"Chad Franscoviak, Joe Ferla, Manny Marroquin & Michael H. Brauer, engineers."
2010,"Producer Of The Year, Non-Classical",,"Danger Mouse, producer."
2010,"Best Remixed Recording, Non-Classical",Revolver (David Guetta's One Love Club Remix),"Afrojack & David Guetta, remixers."
2010,Best Surround Sound Album,Britten's Orchestra,"Keith O. Johnson, surround mix engineer. Keith O. Johnson, surround mastering engineer. David Frost, surround producer."
2010,"Best Engineered Album, Classical",Daugherty: Metropolis Symphony; Deus Ex Machina,"Dirk Sobotka, John Hill & Mark Donahue, engineers."
2010,"Best Engineered Album, Classical","Porter, Quincy: Complete Viola Works","Brandie Lane, David Sabee, Kory Kruckenberg & Leslie Ann Jones, engineers."
2010,"Producer Of The Year, Classical",,"David Frost, producer."
2010,Best Classical Album,Verdi: Requiem,"Duain Wolfe, chorus master. Riccardo Muti, conductor. Christopher Willis, David Frost& Tom Lazarus, engineers/mixers. Silas Brown, mastering engineer. Christopher Alder, producer."
2010,Best Orchestral Performance,Daugherty: Metropolis Symphony; Deus Ex Machina,"Giancarlo Guerrero, conductor. Dirk Sobotka, John Hill & Mark Donahue, engineers/mixers.Blanton Alspaugh, producer."
2010,Best Opera Recording,Saariaho: L'Amour De Loin,"Kent Nagano, conductor. Martin Sauer, producer. Daniel Belcher, Ekaterina Lekhina & Marie-Ange Todorovitch, soloists. Tobias Lehmann, engineer/mixer."
2010,Best Choral Performance,Verdi: Requiem,"Duain Wolfe, chorus master. Riccardo Muti, conductor. Christopher Willis, David Frost& Tom Lazarus, engineers/mixers. Christopher Alder, producer."
2010,Best Instrumental Soloist(s) Performance (with Orchestra),Mozart: Piano Concertos Nos. 23 & 24,"Mitsuko Uchida, soloist. Brad Michel, engineer/mixer. Everett Porter, producer."
2010,Best Instrumental Soloist Performance (without Orchestra),Messiaen: Livre Du Saint-Sacrement,"Paul Jacobs, soloist. Stephen Roessner, engineer/mixer. Daniel Sullivan & Isabelle Demers, producers."
2010,Best Chamber Music Performance,Ligeti: String Quartets Nos. 1 & 2,"Parker Quartet (Jessica Bodner, Daniel Chong, Karen Kim, Kee-Hyun Kim), ensemble. Norbert Kraft, engineer/mixer. Bonnie Silver & Norbert Kraft, producers."
2010,Best Small Ensemble Performance,Dinastia Borja,"Jordi Savall, conductor. Hesperion XXI & La Capella Reial de Catalunya, ensembles."
2010,Best Classical Vocal Performance,Sacrificium,"Cecilia Bartoli, soloist. Philip Siney, engineer/mixer. Arend Prohmann, producer."
2010,Best Classical Contemporary Composition,"Daugherty, Michael: Deus Ex Machina","Michael Daugherty, composer."
2010,Best Classical Crossover Album,"Tin, Christopher: Calling All Dawns","Lucas Richman, conductor. Bill Hare & John Kurlander, engineers/mixers. Christopher Tin, producer."
2010,Best Short Form Music Video,Bad Romance,"Lady Gaga, artist. Francis Lawrence, video director. Heather Heller, Kathy Angstadt & Nicole Ehrlich, video producers."
2010,Best Long Form Music Video,When You're Strange,"Tom Dicillo, video director. Dick Wolf, Jeff Jampol, John Beug & Peter Jankowski, video producers."
2009,Record Of The Year,Use Somebody,"Kings Of Leon (Caleb Followill, Jared Followill, Matthew Followill, Nathan Followill), artist. Jacquire King, engineer/mixer. Angelo Petraglia & Jacquire King, producers."
2009,Album Of The Year,Fearless,"Taylor Swift, artist. Chad Carlson, Justin Niebank & Nathan Chapman, engineers/mixers. Colbie Caillat, featured artist. Hank Williams, mastering engineer. Nathan Chapman & Taylor Swift, producers."
2009,Song Of The Year,Single Ladies (Put A Ring On It),"Beyoncé Knowles, Chris 'Tricky' Stewart, Kuk Harrell & Terius ""Dream"" Nash, songwriters."
2009,Best New Artist,,"Zac Brown Band (Coy Bowles, Zac Brown, Jimmy De Martini, Chris Fryar, John Hopkins), artist."
2009,Best Female Pop Vocal Performance,Halo,"Beyoncé Knowles, artist."
2009,Best Male Pop Vocal Performance,Make It Mine,"Jason Mraz, artist."
2009,Best Pop Performance By A Duo Or Group With Vocals,I Gotta Feeling,"The Black Eyed Peas (Will Adams, Allen Pineda, Stacy Ferguson, Jaime Gomez), artist."
2009,Best Pop Collaboration With Vocals,Lucky,"Colbie Caillat & Jason Mraz, artists."
2009,Best Pop Instrumental Performance,Throw Down Your Heart,"Béla Fleck, artist."
2009,Best Pop Instrumental Album,Potato Hole,"Booker T. Jones, artist. Doug Boehm & Rob Schnapf, engineers/mixers. Booker T. Jones & Rob Schnapf, producers."
2009,Best Pop Vocal Album,The E.N.D.,"The Black Eyed Peas (Will Adams, Allen Pineda, Stacy Ferguson, Jaime Gomez), artist. Dylan Dresdow & Padraic Kerin, engineers/mixers."
2009,Best Dance Recording,Poker Face,"Lady Gaga, artist. Dave Russell, RedOne & Robert Orton, mixers. RedOne, producer."
2009,Best Electronic/Dance Album,The Fame,"Lady Gaga, artist. Robert Orton, engineer/mixer."
2009,Best Traditional Pop Vocal Album,Michael Bublé Meets Madison Square Garden,"Michael Bublé, artist. Humberto Gatica, engineer/mixer. Humberto Gatica, producer."
2009,Best Solo Rock Vocal Performance,Working On A Dream,"Bruce Springsteen, artist."
2009,Best Rock Performance By A Duo Or Group With Vocals,Use Somebody,"Kings Of Leon (Caleb Followill, Jared Followill, Matthew Followill, Nathan Followill), artist."
2009,Best Hard Rock Performance,War Machine,"ACDC (Brian Johnson, Phil Rudd, Cliff Williams, Angus Young, Malcolm Young), artist."
2009,Best Metal Performance,Dissident Aggressor,"Judas Priest (K.K. Downing, Rob Halford, Ian Hill, Glenn Tipton, Scott Travis), artist."
2009,Best Rock Instrumental Performance,A Day In The Life,"Jeff Beck , artist."
2009,Best Rock Song,Use Somebody,"Caleb Followill, Jared Followill, Matthew Followill & Nathan Followill, songwriters (Kings Of Leon)."
2009,Best Rock Album,21st Century Breakdown,"Green Day (Billie Joe Armstrong, Mike Dirnt, Tre Cool), artist. Chris Dugan & Chris Lord-Alge, engineers/mixers. Butch Vig & Green Day (Billie Joe Armstrong, Mike Dirnt, Tre Cool), producers."
2009,Best Alternative Music Album,Wolfgang Amadeus Phoenix,"Phoenix (Laurent Brancowitz, Deck D'Arcy, Thomas Mars, Christian Mazzalai), artist. Philippe Zdar Cerboneschi, engineer/mixer. Philippe Zdar Cerboneschi & Phoenix (Laurent Brancowitz, Deck D'Arcy, Thomas Mars, Christian Mazzalai), producers."
2009,Best Female R&B Vocal Performance,Single Ladies (Put A Ring On It),"Beyoncé Knowles, artist."
2009,Best Male R&B Vocal Performance,Pretty Wings,"Maxwell, artist."
2009,Best R&B Performance By A Duo Or Group With Vocals,Blame It,"Jamie Foxx & T-Pain, artists."
2009,Best Traditional R&B Vocal Performance,At Last,"Beyoncé Knowles, artist."
2009,Best Urban/Alternative Performance,Pearls,"Dobet Gnahore & India.Arie, artists."
2009,Best R&B Song,Single Ladies (Put A Ring On It),"Beyoncé Knowles, Chris 'Tricky' Stewart, Kuk Harrell & Terius ""Dream"" Nash, songwriters."
2009,Best R&B Album,Blacksummers' Night,"Maxwell, artist. Glen Marchese, Hod David, Jesse Gladstone, Maxwell & Mike Pela, engineers/mixers. Hod David & Maxwell, producers."
2009,Best Contemporary R&B Album,I Am... Sasha Fierce,"Beyoncé Knowles, artist. Jim Caruana & Mark Stent, engineers/mixers. BeyoncéKnowles, producer."
2009,Best Rap Solo Performance,D.O.A. (Death Of Auto-Tune),"Jay-Z, artist."
2009,Best Rap Performance By A Duo Or Group,Crack A Bottle,"50 Cent, Dr. Dre & Eminem, artists."
2009,Best Rap/Sung Collaboration,Run This Town,"Jay-Z, Kanye West & Rihanna, artists."
2009,Best Rap Song,Run This Town,"Ernest Wilson, Jeff Bhasker,Kanye West, Robyn Fenty (Rihanna) & Shawn Carter (Jay-Z), songwriters."
2009,Best Rap Album,Relapse,"Eminem, artist. Andre Young, Mauricio ""Veto"" Iragorri & Michael Strange, engineers/mixers. Andre Young, producer."
2009,Best Female Country Vocal Performance,White Horse,"Taylor Swift, artist."
2009,Best Male Country Vocal Performance,Sweet Thing,"Keith Urban, artist."
2009,Best Country Performance By A Duo Or Group With Vocals,I Run To You,"Lady Antebellum (Dave Haywood, Charles Kelley, Hillary Scott), artist."
2009,Best Country Collaboration With Vocals,I Told You So,"Carrie Underwood & Randy Travis, artists."
2009,Best Country Instrumental Performance,Producer's Medley,"Steve Wariner, artist."
2009,Best Country Song,White Horse,"Liz Rose & Taylor Swift, songwriters."
2009,Best Country Album,Fearless,"Taylor Swift, artist. Chad Carlson & Justin Niebank, engineers/mixers. Nathan Chapman & Taylor Swift, producers."
2009,Best New Age Album,Prayer For Compassion,"David Darling, artist. David Darling & Mickey Houlihan, engineers/mixers. David Darling & Mickey Houlihan, producers."
2009,Best Contemporary Jazz Album,75,"Joe Zawinul & The Zawinul Syndicate (Jorge Bezerra, Alegre Correa, Sabine Kabongo, Linley Marthe, Aziz Sahmaoui, Paco Sery, Joe Zawinul), artist. Joachim Becker, Klaus Genuit & Wladi Turkewitsch, engineers/mixers. Joachim Becker, producer."
2009,Best Jazz Vocal Album,Dedicated To You: Kurt Elling Sings The Music Of Coltrane And Hartman,"Kurt Elling, artist. Dave O'Donnell & Rob Macomber, engineers/mixers. Kurt Elling & Laurence Hobgood, producers."
2009,Best Improvised Jazz Solo,Dancin' 4 Chicken,"Terence Blanchard, soloist."
2009,"Best Jazz Instrumental Album, Individual or Group",Five Peace Band - Live,"Chick Corea & John McLaughlin Five Peace Band (Vinnie Colaiuta, Kenny Garrett, Christian McBride, John McLaughlin), artists. Bernie Kirsh, Brian Vibberts & Sven Hoffman, engineers/mixers."
2009,Best Large Jazz Ensemble Album,Book One,"New Orleans Jazz Orchestra (Irvin Mayfield), artist. Masanori Yura, engineer/mixer."
2009,Best Latin Jazz Album,Juntos Para Siempre,"""Chucho"" Valdés & Bebo Valdés, artists. Javier Limón & José Loeches, engineers/mixers. Fernando Trueba & Nat Chediak, producers."
2009,Best Gospel Performance,Wait On The Lord,"Donnie McClurkin & Karen Clark-Sheard, artists."
2009,Best Gospel Song,God In Me,"Erica Campbell, Trecina Campbell & Warryn ""Baby Dubb"" Campbell, songwriters."
2009,Best Rock Or Rap Gospel Album,Live Revelations,"Third Day (Tai Anderson, David Carr, Mark Lee, Mac Powell), artist. Chris Biggs, David Jacques & Don McCollister, engineers/mixers. Third Day (Tai Anderson, David Carr, Mark Lee, Mac Powell), producer."
2009,Best Pop/Contemporary Gospel Album,The Power Of One,"Israel Houghton, artist. Danny Duncan & Tommy Sims, engineers/mixers. Aaron Lindsey, Israel Houghton & Tommy Sims, producers."
2009,"Best Southern, Country, Or Bluegrass Gospel Album",Jason Crabb,"Jason Crabb, artist. Ben Fowler & Paul Corley, engineers/mixers."
2009,Best Traditional Gospel Album,Oh Happy Day,"Bill Hearn, Cedric Thompson, Jack Rovner, Ken Levitan & Ken Pennell, producers."
2009,Best Contemporary R&B Gospel Album,Audience Of One,"Heather Headley, artist. Bill Whittington & Jonathan Crone, engineers/mixers. Keith Thomas, producer."
2009,Best Latin Pop Album,Sin Frenos,"La Quinta Estación (Natalia Jimenez, Angel Reyero), artist. Armando Avila, Juan Carlos Moguel & Pepe Ortega, engineers/mixers. Armando Avila, producer."
2009,"Best Latin Rock, Alternative Or Urban Album",Los De Atras Vienen Conmigo,"Calle 13 (Eduardo Cabra, René Pérez), artist. Carlos Velasquez, Edgardo Matta, Iván Gutiérrez & Ramon Martinez, engineers/mixers. Calle 13(Eduardo Cabra, René Pérez) & Rafael Arcante, producers."
2009,Best Tropical Latin Album,Ciclos,"Luis Enrique, artist. Carlos Alvarez, Juan Cristobal Losada & Juan Mario ""Mayito"" Aracil, engineers/mixers. Sergio George, producer."
2009,Best Regional Mexican Album,Necesito De Ti,"Vicente Fernández, artist. Gustavo Borner, Manuel Salazar, Oscar Iglesias & Sabas Sánchez, engineers/mixers. Manuel Cázares, producer."
2009,Best Tejano Album,Borders Y Bailes,"Los Texmaniacs (Max Baca, David Farias, Oscar Garcia, Lorenzo Martinez), artist. Joe Treviño & Pete Reiniger, engineers/mixers. Daniel Sheehy, producer."
2009,Best Norteño Album,Tu Noche Con...Los Tigres Del Norte,"Los Tigres Del Norte (Eduardo Hernandez, Hernan Hernandez, Jorge Hernandez, Luis Hernandez, Oscar Lara Angulo), artist. Alfonso Rodenas & Joseph Pope, engineers/mixers. Los Tigres Del Norte (Eduardo Hernandez, Hernan Hernandez, Jorge Hernandez, Luis Hernandez, Oscar Lara Angulo), producer."
2009,Best Banda Album,Tu Esclavo Y Amo,"Lupillo Rivera, artist."
2009,Best Americana Album,Electric Dirt,"Levon Helm, artist. Justin Guip, engineer/mixer. Larry Campbell, producer."
2009,Best Bluegrass Album,The Crow / New Songs For The Five-String Banjo,"Steve Martin, artist. Dae Bennett & Nick Sevilla, engineers/mixers. John McEuen, producer."
2009,Best Traditional Blues Album,A Stranger Here,"Ramblin' Jack Elliott, artist. Ryan Freeland, engineer/mixer. Joe Henry, producer."
2009,Best Contemporary Blues Album,Already Free,"The Derek Trucks Band (Kofi Burbridge, Mike Mattison, Count M'Butu, Yonrico Scott, Todd Smallie, Derek Trucks), artist. Bobby Tis, Chris Shaw & Marty Wall, engineers/mixers."
2009,Best Traditional Folk Album,High Wide & Handsome: The Charlie Poole Project,"Loudon Wainwright, artist. Alex Venguer & Scott Lehrer, engineers/mixers. Dick Connette, producer."
2009,Best Contemporary Folk Album,Townes,"Steve Earle, artist. Ray Kennedy & Steve Christensen, engineers/mixers. Steve Earle, producer."
2009,Best Hawaiian Music Album,"Masters Of Hawaiian Slack Key Guitar, Volume 2","Daniel Ho, George Kahumoku Jr, Paul Konwiser & Wayne Wong, producers. Daniel Ho, Peter DeAquino & Sterling Seaton, engineers/mixers."
2009,Best Native American Music Album,Spirit Wind North,"Bill Miller, artist. Bill Miller & Michael Von Muchow, producers."
2009,Best Zydeco Or Cajun Music Album,Lay Your Burden Down,"Buckwheat Zydeco (Reginald Dural, Stanley ""Buckwheat"" Dural, Michael Melchione, Kevin Menard, Olivier Scoazec, Curtis Watson, Lee Allen Zeno), artist. David Farrell, engineer/mixer. Steven Maxwell Berlin, producer."
2009,Best Reggae Album,Mind Control - Acoustic,"Stephen Marley, artist."
2009,Best Traditional World Music Album,Douga Mansa,"Mamadou Diabate, artist. Will Russell, engineer/mixer. Mamadou Diabate, producer."
2009,Best Contemporary World Music Album,"Throw Down Your Heart: Tales From The Acoustic Planet, Vol. 3 - Africa Sessions","Béla Fleck, artist. Dave Sinko, Robert Battaglia & Wellington Bowler, engineers/mixers. Béla Fleck, producer."
2009,Best Musical Album For Children,Family Time,"Ziggy Marley, artist. Krish Sharma & Marc ""Maka"" Moreale, engineers/mixers. Don Was & Ziggy Marley, producers."
2009,Best Spoken Word Album For Children,"Aaaaah! Spooky, Scary Stories & Songs","Buck Howdy, artist. Steve Wetherbee, engineer/mixer. Buck Howdy, producer."
2009,"Best Spoken Word Album (Includes Poetry, Audio Books & Story Telling)",Always Looking Up,"Michael J. Fox, artist. Lance Neal & Zane Birdwell, engineers/mixers. Paul Ruben, producer."
2009,Best Comedy Album,A Colbert Christmas: The Greatest Gift Of All!,"Stephen Colbert, artist. Geoff Sanoff & Todd Kilponen, engineers/mixers. Adam Schlesinger, David Javerbaum & Steven M. Gold, producers."
2009,Best Musical Show Album,West Side Story,"David Caddick & David Lai, producers. Todd Whitelock, engineer/mixer."
2009,"Best Compilation Soundtrack Album For Motion Picture, Television Or Other Visual Media",Slumdog Millionaire,"A.R. Rahman, producer. H Sridhar, P A Deepak & Vivianne Chaix, engineers/mixers."
2009,"Best Score Soundtrack Album For Motion Picture, Television Or Other Visual Media",Up,"Michael Giacchino, composer. Dan Wallin, engineer/mixer."
2009,"Best Song Written For Motion Picture, Television Or Other Visual Media",Jai Ho (From Slumdog Millionaire),"A.R. Rahman, Gulzar & Tanvi Shah, songwriters."
2009,Best Instrumental Composition,Married Life (From Up),"Michael Giacchino, composer."
2009,Best Instrumental Arrangement,West Side Story Medley,"Bill Cunliffe, arranger."
2009,Best Instrumental Arrangement Accompanying Vocalist(s),Quiet Nights,"Claus Ogerman, arranger."
2009,Best Recording Package,Everything That Happens Will Happen Today,"Stefan Sagmeister, art director."
2009,Best Boxed Or Special Limited Edition Package,Neil Young Archives Vol. I (1963-1972),"Gary Burden, Jenice Heo & Neil Young, art directors."
2009,Best Album Notes,The Complete Louis Armstrong Decca Sessions (1935-1946),"Dan Morgenstern, album notes writer."
2009,Best Historical Album,The Complete Chess Masters (1950-1967),"Andy McKaie, compilation producer. Erick Labson, mastering engineer."
2009,"Best Engineered Album, Non-Classical",Ellipse,"Imogen Heap, engineer."
2009,"Producer Of The Year, Non-Classical",,"Brendan O'Brien, producer."
2009,"Best Remixed Recording, Non-Classical",When Love Takes Over (Electro Extended Remix),"David Guetta, remixer."
2009,Best Surround Sound Album,Transmigration,"Michael J. Bishop, surround mix engineer. Michael J. Bishop, surround mastering engineer. Elaine L. Martone, surround producer."
2009,"Best Engineered Album, Classical",Mahler: Symphony No. 8; Adagio From Symphony No. 10,"Peter Laenger, engineer."
2009,"Producer Of The Year, Classical",,"Steven Epstein, producer."
2009,Best Classical Album,Mahler: Symphony No. 8; Adagio From Symphony No. 10,"Kevin Fox, Ragnar Bohlin & Susan McMane, choir directors. Michael Tilson Thomas, conductor. Peter Laenger, engineer/mixer. Andreas Neubronner, mastering engineer. Andreas Neubronner, producer."
2009,Best Orchestral Performance,Ravel: Daphnis Et Chloé,"James Levine, conductor. Dirk Sobotka, Jesse Lewis & John Newton, engineers/mixers. Elizabeth Ostrow, producer."
2009,Best Opera Recording,Britten: Billy Budd,"Daniel Harding, conductor. John Fraser, producer. Gidon Saks, Ian Bostridge, Jonathan Lemalu, Matthew Rose, Nathan Gunn & Neal Davies, soloists. Jonathan Stokes & Neil Hutchinson, engineers/mixers."
2009,Best Choral Performance,Mahler: Symphony No. 8; Adagio From Symphony No. 10,"Kevin Fox, Ragnar Bohlin & Susan McMane, choir directors. Michael Tilson Thomas, conductor. Andreas Neubronner & Peter Laenger, engineers/mixers."
2009,Best Instrumental Soloist(s) Performance (with Orchestra),Prokofiev: Piano Concertos Nos. 2 & 3,"Vladimir Ashkenazy, conductor. Evgeny Kissin, soloist. Arne Akselberg, Jonathan Stokes, Neil Hutchinson & Tim Martyn, engineers/mixers. Jay David Saks, producer."
2009,Best Instrumental Soloist Performance (without Orchestra),Journey To The New World,"Sharon Isbin, soloist. Tim Martyn & Tom Lazarus, engineers/mixers. David Frost, producer."
2009,Best Chamber Music Performance,Intimate Letters,"Emerson String Quartet (Eugene Drucker, Lawrence Dutton, David Finckel, Philip Setzer), ensemble. Da-Hong Seetoo, engineer/mixer. Da-Hong Seetoo, producer."
2009,Best Small Ensemble Performance,"Lang, David: The Little Match Girl Passion","Paul Hillier, conductor. Ars Nova Copenhagen (Thomas Kiorbye) & Theatre Of Voices, ensembles. Brad Michel, engineer/mixer. Robina G. Young, producer."
2009,Best Classical Vocal Performance,Verismo Arias,"Renée Fleming, soloist. Mike Hatch & Richard King, engineers/mixers. David Frost, producer."
2009,Best Classical Contemporary Composition,"Higdon, Jennifer: Percussion Concerto","Jennifer Higdon, composer."
2009,Best Classical Crossover Album,Yo-Yo Ma & Friends: Songs Of Joy And Peace,"Yo-Yo Ma, artist. Richard King, engineer/mixer. Steven Epstein, producer."
2009,Best Short Form Music Video,Boom Boom Pow,"The Black Eyed Peas (Will Adams, Allen Pineda, Stacy Ferguson, Jaime Gomez), artist. Mark Kudsi & Mathew Cullen, video directors. Anna Joseph, Javier Jimenez & Patrick Nugent, video producers."
2009,Best Long Form Music Video,The Beatles Love - All Together Now,"Adrian Wills, video director. Jonathan Clyde & Martin Bolduc, video producers."
2008,Record Of The Year,Please Read The Letter,"Alison Krauss & Robert Plant, artists. Mike Piersante, engineer/mixer. T Bone Burnett, producer."
2008,Album Of The Year,Raising Sand,"Alison Krauss & Robert Plant, artists. Mike Piersante, engineer/mixer. Gavin Lurssen, mastering engineer. T Bone Burnett, producer."
2008,Song Of The Year,Viva La Vida,"Chris Martin, Guy Berryman, Jon Buckland & Will Champion, songwriters."
2008,Best New Artist,,"Adele, artist."
2008,Best Female Pop Vocal Performance,Chasing Pavements,"Adele, artist."
2008,Best Male Pop Vocal Performance,Say,"John Mayer, artist."
2008,Best Pop Performance By A Duo Or Group With Vocals,Viva La Vida,"Coldplay (Guy Berryman, Jon Buckland, Will Champion, Chris Martin), artist."
2008,Best Pop Collaboration With Vocals,Rich Woman,"Alison Krauss & Robert Plant, artists."
2008,Best Pop Instrumental Performance,I Dreamed There Was No War,"Eagles (Glenn Frey, Don Henley, Timothy B Schmit, Joe Walsh), artist."
2008,Best Pop Instrumental Album,Jingle All The Way,"Béla Fleck & The Flecktones (Jeff Coffin, Béla Fleck, Future Man, Victor Lemont Wooten), artist. Richard Battaglia & Robert Battaglia, engineers."
2008,Best Pop Vocal Album,Rockferry,"Duffy, artist."
2008,Best Dance Recording,Harder Better Faster Stronger,"Daft Punk (Thomas Bangalter, Guy-Manuel De Homem-Christo), artist. Guy-Manuel De Homem-Christo & Thomas Bangalter, mixers. Guy-Manuel De Homem-Christo & Thomas Bangalter, producers."
2008,Best Electronic/Dance Album,Alive 2007,"Daft Punk (Thomas Bangalter, Guy-Manuel De Homem-Christo), artist. Peter Franco, engineer."
2008,Best Traditional Pop Vocal Album,Still Unforgettable,"Natalie Cole, artist. Al Schmitt, engineer. Gail Deadrick & Natalie Cole, producers."
2008,Best Solo Rock Vocal Performance,Gravity,"John Mayer, artist."
2008,Best Rock Performance By A Duo Or Group With Vocals,Sex On Fire,"Kings Of Leon (Caleb Followill, Jared Followill, Matthew Followill, Nathan Followill), artist."
2008,Best Hard Rock Performance,Wax Simulacra,"Mars Volta (Juan Alderete De La Pena, Cedric Bixler Zavala, John Frusciante, Pablo Hinojos-Gonzales, Isaiah Ikey Owens, Thomas Pridgen, Marcel Rodriguez Lopez, Omar Rodriguez Lopez, Adrian Terrazas-Gonzáles), artist."
2008,Best Metal Performance,My Apocalypse,"Metallica (Kirk Hammett, James Hetfield, Robert Trujillo, Lars Ulrich), artist."
2008,Best Rock Instrumental Performance,Peaches En Regalia,"Napoleon Brock, Steve Vai & Zappa Plays Zappa (Aaron Arntz, Scheila Gonzalez, Pete Griffin, Billy Hulting, Jamie Kime, Joe Travers, Dweezil Zappa), artists."
2008,Best Rock Song,Girls In Their Summer Clothes,"Bruce Springsteen, songwriter."
2008,Best Rock Album,Viva La Vida Or Death And All His Friends,"Coldplay (Guy Berryman, Jon Buckland, Will Champion, Chris Martin), artist. Michael H. Brauer & Rik Simpson, engineers. Brian Eno, Markus Dravs & Rik Simpson, producers."
2008,Best Alternative Music Album,In Rainbows,"Radiohead (Colin Greenwood, Jonny Greenwood, Ed O'Brien, Philip Selway, Thom Yorke), artist. Dan Grech-Marguerat, Hugo Nicolson, Nigel Godrich & Richard Woodcraft, engineers. Nigel Godrich, producer."
2008,Best Female R&B Vocal Performance,Superwoman,"Alicia Keys, artist."
2008,Best Male R&B Vocal Performance,Miss Independent,"Ne-Yo, artist."
2008,Best R&B Performance By A Duo Or Group With Vocals,Stay With Me (By The Sea),"Al Green & John Legend, artists."
2008,Best Traditional R&B Vocal Performance,You've Got The Love I Need,"Al Green & Anthony Hamilton, artists."
2008,Best Urban/Alternative Performance,Be OK,"Chrisette Michele & will.i.am, artists."
2008,Best R&B Song,Miss Independent,"Mikkel Eriksen, Ne-Yo & Tor Hermansen, songwriters."
2008,Best R&B Album,Jennifer Hudson,"Jennifer Hudson, artist. Clive Davis & Larry Jackson, producers."
2008,Best Contemporary R&B Album,Growing Pains,"Mary J. Blige, artist. Dave Pensado, Jaycen Joshua & Kuk Harrell, engineers."
2008,Best Rap Solo Performance,A Milli,"Lil Wayne, artist."
2008,Best Rap Performance By A Duo Or Group,Swagga Like Us,"Jay-Z, Kanye West, Lil Wayne & T.I., artists."
2008,Best Rap/Sung Collaboration,American Boy,"Estelle & Kanye West, artists."
2008,Best Rap Song,Lollipop,"Darius ""Deezle"" Harrison, James Scheffer, Lil Wayne, Rex Zamor & Static Major, songwriters."
2008,Best Rap Album,Tha Carter III,"Lil Wayne, artist. Darius ""Deezle"" Harrison & Fabian Marasciullo, engineers."
2008,Best Female Country Vocal Performance,Last Name,"Carrie Underwood, artist."
2008,Best Male Country Vocal Performance,Letter To Me,"Brad Paisley, artist."
2008,Best Country Performance By A Duo Or Group With Vocals,Stay,"Sugarland (Kristian Bush, Jennifer Nettles), artist."
2008,Best Country Collaboration With Vocals,Killing The Blues,"Alison Krauss & Robert Plant, artists."
2008,Best Country Instrumental Performance,Cluster Pluck,"Albert Lee, Brad Paisley, Brent Mason, James Burton, John Jorgenson, Redd Volkaert, Steve Wariner & Vince Gill, artists."
2008,Best Country Song,Stay,"Jennifer Nettles, songwriter."
2008,Best Country Album,Troubadour,"George Strait, artist. Chuck Ainlay, engineer. George Strait & Tony Brown, producers."
2008,Best Bluegrass Album,Honoring The Fathers Of Bluegrass: Tribute To 1946 And 1947,"Ricky Skaggs And Kentucky Thunder (Paul Brewster, Mark Fain, Cody Kilby, Andy Leftwich, Jim Mills, Ricky Skaggs), artist. Brent King, engineer."
2008,Best New Age Album,Peace Time,"Jack DeJohnette, artist. Jack DeJohnette & Pablo Ben Surman, producers."
2008,Best Contemporary Jazz Album,Randy In Brasil,"Randy Brecker, artist. Eduardo Santos, engineer. Ruriá Duprat, producer."
2008,Best Jazz Vocal Album,Loverly,"Cassandra Wilson, artist. Jason Wormer & John Fischbach, engineers. Cassandra Wilson, producer."
2008,Best Jazz Instrumental Solo,Be-Bop,"Terence Blanchard, soloist."
2008,"Best Jazz Instrumental Album, Individual or Group",The New Crystal Silence,"Chick Corea & Gary Burton, artists. Bernie Kirsh, Brian Vibberts, Buck Snow, Tim Garland & Tony David Cray, engineers. Chick Corea & Gary Burton, producers."
2008,Best Large Jazz Ensemble Album,Monday Night Live At The Village Vanguard,"Vanguard Jazz Orchestra (Thomas Bellino, Jim McNeely, John M. Mosca, Dick Oatts, Douglas Purviance), artist. Ed Reed & Gary Chester, engineers."
2008,Best Latin Jazz Album,Song For Chico,"Arturo O'Farrill & The Afro-Latin Jazz Orchestra (Arturo O'Farrill, Jr.), artist. Rob Macomber & Troy Halderson, engineers."
2008,Best Gospel Performance,Get Up,"Mary Mary (Erica Campbell, Trecina Campbell), artist."
2008,Best Gospel Song,Help Me Believe,"Kirk Franklin, songwriter."
2008,Best Rock Or Rap Gospel Album,Alive And Transported,"Tobymac, artist. Bryan Lenox & Steve Lamm, engineers. Dave Wyatt & Tobymac, producers."
2008,Best Pop/Contemporary Gospel Album,Thy Kingdom Come,"CeCe Winans, artist."
2008,"Best Southern, Country, Or Bluegrass Gospel Album",Lovin' Life,"The Gaither Vocal Band (Bill Gaither, Marshall Hall, Wes Hampton, Guy Penrod), artist. Chad Evans & Pete Greene, engineers. The Gaither Vocal Band (Bill Gaither, Marshall Hall, Wes Hampton, Guy Penrod), producer."
2008,Best Traditional Gospel Album,Down In New Orleans,"Blind Boys of Alabama (Billy Bowers, Bobby Butler, Jimmy Carter, Ricky McKinnie, Ben Moore, Tracy Pierce, Joey Williams), artist. Jimmy Hoyson, engineer. Chris Goldsmith, producer."
